shipment_id,region,transport_mode,shipment_volume_kg,distance_km,delivery_time_days,transport_cost_inr,fuel_cost_inr,on_time
SHP1000,South,Road,489.69,775.95,3.7,4811.92,1911.19,1
SHP1001,Central,Road,1058.03,622.34,3.4,6742.69,2454.56,1
SHP1002,West,Sea,217.82,153.13,5.3,4297.57,1135.64,0
SHP1003,East,Road,533.0,93.79,2.6,4657.23,1908.14,1
SHP1004,North,Road,155.93,2469.92,9.5,6452.22,2441.43,0
SHP1005,North,Rail,1037.23,1098.04,5.2,7563.32,1978.14,1
SHP1006,North,Sea,764.04,991.6,9.9,6469.32,,1
SHP1007,Central,Rail,295.73,1715.14,9.4,5801.7,1306.51,1
SHP1008,East,Rail,831.72,584.72,6.2,6478.79,1563.87,1
SHP1009,West,Road,372.59,2377.4,9.1,6813.61,2548.08,1
SHP1010,North,Rail,786.26,1976.55,8.0,8983.27,2528.51,1
SHP1011,Central,Sea,401.29,269.06,6.5,5402.83,1852.34,1
SHP1012,West,Road,411.62,1073.07,5.6,5057.92,1696.94,1
SHP1013,North,Rail,299.57,2203.84,7.5,6549.91,1469.53,1
SHP1014,North,Sea,572.79,2364.59,16.4,8759.24,2648.9,0
SHP1015,North,Air,430.2,1195.13,2.0,12378.86,4686.28,1
SHP1016,South,Rail,539.71,1552.86,7.3,6802.47,1749.09,1
SHP1017,East,Air,129.61,459.23,1.8,8222.52,3266.87,1
SHP1018,South,Road,801.68,2478.36,8.7,8432.11,2881.33,1
SHP1019,South,Road,912.95,617.6,,5869.06,1814.97,1
SHP1020,East,Air,429.01,2359.69,3.6,13269.55,5384.86,1
SHP1021,North,Air,1146.88,1641.63,2.6,21979.0,8711.69,1
SHP1022,South,Sea,1002.43,1538.96,13.0,7761.62,2153.0,1
SHP1023,South,Sea,579.82,1306.09,13.1,6042.33,1381.86,1
SHP1024,South,Rail,837.62,615.14,6.2,6129.86,1528.34,1
SHP1025,West,Rail,719.31,482.49,3.7,6628.16,1922.88,1
SHP1026,North,Air,105.35,590.19,2.1,7646.45,3307.77,1
SHP1027,East,Rail,337.57,506.77,4.2,4692.11,1104.46,1
SHP1028,East,Air,602.76,1959.98,3.4,15714.0,6195.27,1
SHP1029,North,Air,946.24,907.81,2.4,18167.15,7337.18,1
SHP1030,East,Sea,148.24,191.71,6.9,5043.58,1363.32,1
SHP1031,North,Road,111.02,2424.3,7.7,5490.9,1967.08,1
SHP1032,North,Road,386.55,2215.28,9.5,6696.09,2458.54,0
SHP1033,Central,Road,77.23,2322.99,9.7,5492.87,2106.54,1
SHP1034,Central,Rail,378.56,2487.52,8.6,7032.91,1743.2,1
SHP1035,West,Road,496.69,476.04,3.7,4945.19,1700.27,1
SHP1036,South,Rail,211.12,1020.79,6.0,4577.07,1012.57,1
SHP1037,North,Rail,384.84,1907.68,8.0,6138.17,1410.51,1
SHP1038,East,Road,682.54,1755.25,6.6,7472.56,2581.42,1
SHP1039,South,Rail,283.67,427.04,3.4,3542.34,940.69,0
SHP1040,North,Road,235.52,2048.79,7.8,5647.12,2113.53,1
