Shipment_ID,Distance_km,Shipment_Weight_kg,Traffic_Level,Weather_Risk,Number_of_Stops,Vehicle_Age_Years,Warehouse_Delay_Hours,Priority,Delivery_Time_Hours
SHIP-1000,305.89,52.46,8,1,9,7.7,0.53,Express,16.29
SHIP-1001,761.06,451.37,10,3,5,2.8,3.62,Standard,32.09
SHIP-1002,588.28,253.12,1,4,4,1.2,2.16,Standard,19.11
SHIP-1003,482.94,413.4,10,2,1,1.0,4.54,Express,23.14
SHIP-1004,133.25,160.7,9,1,7,4.8,3.72,Express,17.06
SHIP-1005,133.24,447.87,6,5,3,3.6,1.04,Standard,12.62
SHIP-1006,55.89,195.21,3,3,6,7.9,3.11,Express,11.39
SHIP-1007,694.28,6.41,8,2,5,6.2,2.23,Standard,27.73
SHIP-1008,484.88,452.79,9,3,5,3.6,2.93,Standard,26.85
SHIP-1009,569.38,46.55,6,2,5,2.2,3.72,Standard,20.85
SHIP-1010,26.26,160.34,7,2,1,2.0,4.05,Express,10.57
SHIP-1011,776.23,475.08,1,1,1,10.4,4.23,Express,19.7
SHIP-1012,667.63,475.35,5,3,3,3.3,1.34,Standard,20.06
SHIP-1013,177.75,287.15,5,3,4,8.0,0.25,Express,11.25
SHIP-1014,153.64,316.29,10,5,5,9.8,3.72,Standard,20.93
SHIP-1015,154.89,224.77,4,5,2,7.6,0.62,Standard,12.28
SHIP-1016,250.35,147.31,6,1,8,10.4,1.64,Standard,17.17
SHIP-1017,424.56,165.0,7,1,2,5.0,0.12,Standard,17.94
SHIP-1018,351.24,336.59,9,4,9,11.5,3.44,Standard,25.55
SHIP-1019,240.07,376.43,1,5,2,2.0,0.92,Standard,14.78
SHIP-1020,493.36,396.0,6,2,9,1.7,3.31,Express,22.61
SHIP-1021,120.2,395.02,7,3,7,8.1,4.96,Standard,21.37
SHIP-1022,240.79,46.51,3,1,8,11.3,0.46,Standard,9.9
SHIP-1023,299.43,247.72,8,3,2,9.8,0.48,Standard,18.56
SHIP-1024,370.3,29.72,5,3,7,1.4,1.77,Standard,17.75
SHIP-1025,630.29,275.21,9,4,6,3.7,4.35,Standard,27.53
SHIP-1026,167.74,221.32,5,5,4,11.2,1.16,Express,13.68
SHIP-1027,416.25,443.96,9,1,7,3.4,1.87,Standard,21.66
SHIP-1028,478.01,176.11,10,3,4,9.5,0.44,Express,21.89
SHIP-1029,46.7,59.42,4,1,2,10.0,3.84,Express,10.2
SHIP-1030,489.96,72.35,9,2,7,6.2,2.1,Standard,22.08
SHIP-1031,144.71,380.99,5,4,8,4.9,3.82,Express,17.29
SHIP-1032,61.39,309.49,10,2,2,5.7,4.53,Standard,16.95
SHIP-1033,759.62,51.46,9,1,5,3.1,1.24,Express,26.77
SHIP-1034,772.85,42.97,3,1,1,10.7,4.06,Standard,23.83
SHIP-1035,648.63,350.78,4,5,7,5.7,0.39,Standard,23.07
SHIP-1036,250.64,37.31,9,3,8,10.6,4.5,Standard,22.89
SHIP-1037,87.16,411.11,10,3,6,1.7,3.29,Standard,18.35
SHIP-1038,550.54,353.41,6,2,5,11.9,4.38,Standard,24.49
SHIP-1039,357.72,41.59,2,4,6,5.6,0.1,Standard,13.7
SHIP-1040,106.41,43.33,7,3,2,1.1,0.93,Standard,9.98
SHIP-1041,401.19,493.33,2,5,1,0.9,2.01,Express,14.09
SHIP-1042,37.17,187.76,2,2,7,9.1,1.96,Express,8.9
SHIP-1043,728.36,185.95,1,2,7,8.1,1.21,Standard,21.59
SHIP-1044,214.44,406.59,3,5,2,9.7,1.97,Standard,15.46
SHIP-1045,533.39,473.68,6,4,2,1.7,0.73,Express,18.8
SHIP-1046,256.25,493.01,8,5,1,0.9,2.12,Express,14.91
SHIP-1047,420.85,376.94,9,4,8,6.3,4.03,Express,25.85
SHIP-1048,441.9,188.75,7,5,8,5.0,2.45,Standard,23.15
SHIP-1049,156.04,42.67,4,5,1,5.8,0.19,Standard,10.3
SHIP-1050,775.97,388.8,6,1,8,11.9,2.17,Standard,29.74
SHIP-1051,622.35,279.64,5,2,9,11.7,0.23,Standard,21.81
SHIP-1052,752.2,212.69,8,5,4,11.3,4.83,Express,31.14
SHIP-1053,716.91,453.27,1,5,1,9.5,0.72,Express,19.57
SHIP-1054,482.34,56.49,1,3,1,4.6,3.57,Standard,17.63
SHIP-1055,738.28,246.82,6,2,3,5.2,4.87,Express,27.38
SHIP-1056,79.91,6.67,10,3,5,6.8,4.15,Standard,18.56
SHIP-1057,164.83,234.86,2,2,5,10.1,3.53,Standard,12.67
SHIP-1058,45.73,29.1,5,3,9,1.3,4.21,Standard,15.28
SHIP-1059,267.01,60.29,1,5,2,5.4,4.91,Express,15.61
SHIP-1060,317.06,59.65,7,5,2,1.5,3.14,Standard,19.12
SHIP-1061,224.37,324.96,1,1,6,6.4,2.84,Express,10.6
SHIP-1062,664.7,373.28,4,3,9,10.8,3.18,Express,25.87
SHIP-1063,291.84,292.1,9,4,1,9.5,2.71,Standard,20.13
SHIP-1064,231.94,481.12,1,1,9,3.1,3.21,Standard,12.52
SHIP-1065,438.73,188.06,4,3,9,11.7,2.3,Express,20.01
SHIP-1066,121.33,143.57,6,3,9,8.2,1.17,Standard,13.29
SHIP-1067,643.74,434.43,6,1,5,0.6,0.69,Express,20.84
SHIP-1068,68.9,112.57,8,5,9,3.4,0.43,Express,12.93
SHIP-1069,789.64,481.65,1,3,4,3.5,1.39,Standard,22.74
SHIP-1070,620.07,7.07,7,5,2,1.3,0.33,Standard,22.74
SHIP-1071,166.99,484.97,1,1,6,11.5,2.88,Express,13.59
SHIP-1072,14.36,22.54,7,5,4,6.0,1.49,Express,12.01
SHIP-1073,654.21,445.68,3,2,6,10.8,4.14,Standard,26.83
SHIP-1074,568.42,264.32,8,4,3,4.2,0.46,Standard,25.03
SHIP-1075,585.92,496.49,3,3,6,1.9,1.21,Standard,21.3
SHIP-1076,619.3,37.82,1,4,2,6.0,3.68,Express,19.58
SHIP-1077,68.5,277.37,8,5,2,1.8,3.03,Express,12.56
SHIP-1078,293.19,484.68,3,3,9,6.1,0.42,Express,14.02
SHIP-1079,101.54,262.03,2,5,7,11.1,4.4,Standard,14.59
SHIP-1080,691.85,315.07,1,2,3,6.5,4.4,Standard,22.23
SHIP-1081,502.41,348.18,3,1,1,7.6,1.72,Express,17.37
SHIP-1082,271.41,227.82,2,3,8,2.3,1.77,Standard,14.62
SHIP-1083,60.21,314.15,2,2,6,1.0,4.95,Standard,11.03
SHIP-1084,255.68,292.57,6,2,7,1.8,3.17,Standard,19.49
SHIP-1085,266.89,450.68,1,3,9,7.4,2.7,Express,15.53
SHIP-1086,586.39,23.68,2,5,5,1.6,4.21,Express,22.45
SHIP-1087,513.67,141.2,6,2,1,4.8,1.5,Standard,16.53
SHIP-1088,710.9,475.26,3,4,7,6.8,2.2,Standard,27.99
SHIP-1089,383.05,445.24,4,2,5,5.0,1.41,Express,14.69
SHIP-1090,104.48,228.37,1,5,3,2.4,3.97,Express,11.19
SHIP-1091,573.46,310.45,8,5,9,3.6,2.91,Standard,31.39
SHIP-1092,611.02,139.41,7,4,1,11.2,3.33,Standard,27.93
SHIP-1093,453.41,94.87,7,2,1,8.3,1.34,Standard,17.45
SHIP-1094,619.06,232.39,3,5,1,6.2,1.18,Express,17.21
SHIP-1095,400.1,177.32,10,3,3,0.6,2.49,Standard,23.63
SHIP-1096,422.96,292.24,10,1,6,11.9,3.71,Standard,25.12
SHIP-1097,347.76,39.79,3,1,3,8.2,2.67,Express,12.63
SHIP-1098,30.08,487.22,2,1,8,4.1,0.26,Express,6.9
SHIP-1099,95.23,493.12,1,2,2,10.6,4.36,Standard,10.91
SHIP-1100,34.83,349.38,7,4,9,3.5,0.42,Express,13.1
SHIP-1101,512.76,268.51,7,5,3,6.8,4.78,Standard,26.13
SHIP-1102,258.34,155.45,2,3,5,7.8,0.22,Standard,12.75
SHIP-1103,411.77,407.08,7,3,8,3.0,3.5,Standard,22.38
SHIP-1104,726.98,342.68,8,2,2,11.8,0.5,Express,25.51
SHIP-1105,206.94,82.15,1,1,6,9.1,4.56,Standard,14.41
SHIP-1106,334.2,455.55,9,2,5,6.9,2.38,Express,20.34
SHIP-1107,606.89,411.45,7,4,9,2.6,0.77,Express,22.75
SHIP-1108,190.75,474.95,3,4,5,1.1,1.77,Express,13.99
SHIP-1109,70.81,363.13,8,5,2,4.2,0.91,Express,12.15
SHIP-1110,238.9,307.09,7,5,5,9.2,0.94,Express,17.22
SHIP-1111,137.36,209.7,8,4,4,3.6,4.75,Standard,18.28
SHIP-1112,744.46,466.43,6,4,7,6.7,2.28,Standard,29.09
SHIP-1113,648.42,433.17,9,4,6,8.9,3.97,Express,29.54
SHIP-1114,510.39,23.56,5,2,2,1.7,3.23,Standard,16.28
SHIP-1115,698.45,14.16,3,4,5,8.4,3.41,Express,24.25
SHIP-1116,644.9,188.86,3,3,7,1.6,0.75,Express,22.04
SHIP-1117,157.39,405.47,1,1,7,11.6,1.25,Standard,11.21
SHIP-1118,715.12,493.65,8,4,5,6.1,3.96,Express,28.01
SHIP-1119,436.08,76.06,2,1,9,2.2,4.86,Standard,20.53
SHIP-1120,647.88,297.47,3,2,4,4.4,1.39,Standard,21.85
SHIP-1121,717.91,191.06,8,1,3,5.3,1.43,Standard,25.51
SHIP-1122,261.22,484.99,8,2,4,9.2,2.42,Standard,18.64
SHIP-1123,96.94,421.22,4,3,5,9.0,4.92,Express,13.82
SHIP-1124,190.07,419.33,4,2,6,7.5,1.42,Express,11.82
SHIP-1125,347.42,234.88,5,2,3,1.7,2.09,Express,15.42
SHIP-1126,656.23,207.99,6,5,2,2.2,4.47,Standard,25.14
SHIP-1127,689.98,137.43,5,4,4,1.6,0.11,Standard,21.9
SHIP-1128,15.49,29.13,7,4,5,7.1,0.29,Express,11.79
SHIP-1129,413.49,432.5,2,3,4,10.6,3.06,Standard,20.21
SHIP-1130,339.75,406.64,7,3,3,5.5,4.55,Express,18.03
SHIP-1131,185.47,499.86,10,4,8,2.3,1.27,Express,16.96
SHIP-1132,104.69,498.32,7,5,4,6.9,2.4,Express,14.56
SHIP-1133,276.72,278.16,1,4,2,9.8,2.31,Express,12.95
SHIP-1134,754.9,384.72,7,5,2,9.0,2.42,Standard,26.39
SHIP-1135,265.33,472.44,5,3,1,10.6,3.15,Express,15.1
SHIP-1136,419.84,424.97,3,1,4,3.7,2.4,Standard,16.05
SHIP-1137,565.38,124.43,3,3,9,2.7,2.29,Express,22.01
SHIP-1138,297.27,225.82,4,3,7,10.6,2.42,Standard,15.67
SHIP-1139,777.71,65.45,2,2,7,8.1,3.0,Express,23.7
SHIP-1140,770.33,477.07,2,2,7,4.1,2.73,Express,23.13
SHIP-1141,208.91,303.48,1,2,8,9.0,4.29,Standard,16.94
SHIP-1142,402.83,115.09,5,2,1,9.9,0.34,Standard,15.93
SHIP-1143,247.69,336.18,4,5,8,7.6,4.18,Express,17.76
SHIP-1144,235.02,309.45,10,4,4,8.4,4.24,Standard,23.42
SHIP-1145,39.14,179.72,2,1,4,4.8,1.5,Standard,6.45
SHIP-1146,491.56,57.67,3,3,4,6.7,2.37,Standard,19.98
SHIP-1147,407.12,336.12,7,5,6,6.5,2.25,Standard,22.43
SHIP-1148,50.67,260.63,7,1,7,10.3,1.17,Express,12.5
SHIP-1149,230.13,386.39,4,5,6,10.2,2.04,Standard,17.56
SHIP-1150,727.53,260.56,5,5,1,10.1,0.32,Standard,27.71
SHIP-1151,199.25,426.24,5,3,8,0.6,1.46,Standard,15.3
SHIP-1152,124.47,276.4,6,4,7,9.1,4.1,Standard,18.52
SHIP-1153,396.67,280.91,9,2,6,9.2,1.49,Standard,21.14
SHIP-1154,788.66,438.45,2,4,6,8.3,4.11,Standard,27.99
SHIP-1155,201.22,202.34,5,3,5,9.2,2.7,Standard,12.61
SHIP-1156,540.99,67.87,3,3,6,10.2,4.41,Standard,23.54
SHIP-1157,611.68,15.36,4,3,9,5.9,2.92,Express,24.48
SHIP-1158,197.73,377.81,10,1,9,6.3,0.25,Standard,18.26
SHIP-1159,585.29,310.53,6,4,8,1.9,3.41,Express,23.25
SHIP-1160,300.55,352.34,8,4,9,4.9,0.32,Standard,18.97
SHIP-1161,509.52,107.27,1,5,8,7.9,2.31,Standard,17.59
SHIP-1162,510.49,69.05,10,5,8,9.5,4.65,Express,29.82
SHIP-1163,433.26,8.26,8,5,1,3.0,0.91,Standard,18.48
SHIP-1164,81.33,175.94,7,3,5,2.1,2.01,Express,12.06
SHIP-1165,669.89,295.37,1,4,4,8.1,3.68,Express,21.59
SHIP-1166,263.42,196.73,2,3,2,0.5,4.42,Standard,16.12
SHIP-1167,157.35,219.3,3,1,8,2.6,3.39,Express,12.03
SHIP-1168,42.21,452.18,1,5,3,0.8,1.37,Express,7.67
